î‘çÜ,ínì_ñº,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm,
401,ítì‡,530,6,527,6,523,6,514,6,522,6,525,6,512,6,524,6,518,6,517,6,515,6,-,-,522,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,522,6,522,6,
406,óØñG,513,6,517,6,516,6,514,6,514,6,516,6,-,-,-,-,513,6,516,6,517,6,511,6,523,6,520,6,519,6,511,6,518,6,511,6,521,6,-,-,518,6,518,6,512,6,
407,àÆêÏ,516,6,518,6,514,6,513,6,514,6,515,6,513,6,516,6,512,6,511,6,513,6,516,6,519,6,518,6,508,6,505,6,509,6,510,6,515,6,504,6,511,6,515,6,512,6,
409,ñ‘ëñ,526,6,519,6,520,6,513,6,-,-,-,-,507,6,-,-,-,-,-,-,-,-,-,-,-,-,521,6,-,-,510,6,513,6,510,6,520,6,506,6,513,6,518,6,517,6,
412,éDñy,514,8,508,8,516,8,509,8,513,8,-,-,510,8,509,8,509,8,505,8,505,8,507,8,516,8,511,8,504,8,504,8,510,8,509,8,513,8,501,8,507,8,513,8,508,8,
413,ä‚å©ëÚ,511,8,509,8,513,8,509,8,-,-,514,8,-,-,515,8,507,8,505,8,512,8,510,8,520,8,517,8,510,8,506,8,513,8,513,8,517,8,506,8,510,8,514,8,511,8,
417,ë—çL,519,6,512,6,514,6,509,6,514,6,516,6,505,6,515,6,509,6,507,6,510,6,510,6,517,6,517,6,505,6,505,6,510,6,513,6,516,6,506,6,509,6,512,6,514,6,
418,ã˙òH,-,-,528,6,526,6,-,-,519,6,529,6,520,6,528,6,527,6,510,6,520,6,524,6,525,6,520,6,514,6,523,6,520,6,521,6,524,6,510,6,516,6,520,6,524,6,
420,ç™é∫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,608,6,526,6,520,6,522,6,528,6,528,6,527,6,522,6,528,6,520,6,524,6,529,6,518,6,517,6,521,6,531,6,
423,é∫óñ,517,8,513,8,523,8,513,8,514,8,517,8,430,8,514,8,511,8,512,8,510,8,512,8,520,8,520,8,508,8,510,8,512,8,516,8,515,8,508,8,514,8,515,8,511,8,
426,âYâÕ,514,6,513,6,515,6,511,6,518,6,516,6,505,6,518,6,509,6,508,6,515,6,516,6,523,6,516,6,510,6,514,6,513,6,515,6,518,6,506,6,514,6,516,6,512,6,
428,ç]ç∑,515,8,508,8,508,8,509,8,509,8,511,8,506,8,509,8,504,8,504,8,506,8,508,8,520,8,509,8,507,8,505,8,512,8,509,8,516,8,504,8,506,8,514,8,505,8,
430,îüäŸ,509,8,507,8,514,8,508,8,512,8,510,8,502,8,510,8,505,8,508,8,508,8,510,8,516,8,511,8,509,8,507,8,508,8,511,8,514,8,504,8,507,8,512,8,507,8,
433,ã‰ímà¿,-,-,519,6,523,6,-,-,519,6,520,6,506,6,520,6,512,6,512,6,512,6,513,6,523,6,519,6,511,6,513,6,513,6,519,6,-,-,510,6,515,6,518,6,513,6,
435,ñ‰ï ,-,-,-,-,-,-,511,6,518,6,520,6,504,6,517,6,509,6,512,6,511,6,514,6,520,6,520,6,508,6,509,6,510,6,511,6,518,6,507,6,514,6,517,6,524,6,
440,çLîˆ,-,-,-,-,-,-,-,-,-,-,515,6,503,6,513,6,507,6,508,6,509,6,515,6,520,6,519,6,507,6,510,6,510,6,515,6,516,6,509,6,508,6,515,6,516,6,
520,êVèØ,-,-,-,-,-,-,-,-,-,-,428,8,421,8,429,8,428,8,427,8,428,8,424,8,509,8,426,8,426,8,428,8,428,8,503,8,428,8,419,8,425,8,504,8,427,8,
575,ê¬êX,-,-,-,-,-,-,502,8,507,8,504,8,425,8,501,8,429,8,430,8,426,8,502,8,510,8,505,8,503,8,503,8,504,8,507,8,505,8,429,8,428,8,507,8,501,8,
581,î™åÀ,502,8,426,8,426,8,427,8,501,8,427,8,423,8,501,8,426,8,426,8,425,8,502,8,509,8,430,8,428,8,429,8,430,8,507,8,426,8,428,8,422,8,501,8,428,8,
582,èHìc,429,8,422,8,423,8,426,8,429,8,429,8,417,8,427,8,423,8,424,8,421,8,423,8,508,8,425,8,428,8,424,8,429,8,501,8,429,8,422,8,423,8,430,8,425,8,
584,ê∑â™,503,8,426,8,427,8,428,8,502,8,429,8,421,8,429,8,425,8,425,8,421,8,423,8,508,8,425,8,428,8,423,8,429,8,501,8,428,8,425,8,423,8,502,8,428,8,
585,ã{å√,429,8,420,8,416,8,423,8,423,8,424,8,419,8,426,8,422,8,421,8,418,8,424,8,504,8,425,8,426,8,422,8,426,8,503,8,422,8,425,8,421,8,428,8,426,8,
587,éìc,422,8,418,8,415,8,421,8,423,8,422,8,412,8,421,8,420,8,422,8,418,8,418,8,502,8,421,8,420,8,419,8,425,8,427,8,424,8,419,8,421,8,426,8,420,8,
588,éRå`,427,8,418,8,415,8,421,8,427,8,423,8,416,8,424,8,421,8,422,8,417,8,417,8,502,8,422,8,424,8,421,8,424,8,428,8,423,8,417,8,421,8,428,8,422,8,
590,êÂë‰,417,8,412,8,416,8,419,8,421,8,415,8,410,8,417,8,416,8,421,8,418,8,419,8,425,8,418,8,418,8,414,8,420,8,425,8,417,8,416,8,418,8,424,8,418,8,
595,ïüìá,411,8,409,8,411,8,416,8,419,8,409,8,408,8,414,8,414,8,416,8,413,8,413,8,424,8,414,8,414,8,411,8,414,8,421,8,414,8,411,8,414,8,422,8,415,8,
597,îíâÕ,426,8,415,8,415,8,419,8,421,8,421,8,415,8,419,8,420,8,422,8,418,8,416,8,430,8,420,8,420,8,421,8,423,8,428,8,420,8,419,8,418,8,426,8,420,8,
598,è¨ñºïl,413,8,406,8,410,8,416,8,417,8,413,8,406,8,414,8,414,8,416,8,416,8,413,8,422,8,411,8,409,8,412,8,416,8,421,8,415,8,411,8,412,8,419,8,415,8,
600,ó÷ìá,416,8,411,8,410,8,416,8,421,8,415,8,405,8,411,8,414,8,415,8,414,8,414,8,422,8,414,8,414,8,417,8,420,8,423,8,416,8,414,8,414,8,419,8,417,8,
602,ëäêÏ,420,8,411,8,412,8,417,8,422,8,417,8,409,8,414,8,415,8,414,8,417,8,417,8,428,8,421,8,418,8,417,8,423,8,425,8,420,8,416,8,416,8,423,8,419,8,
