î‘çÜ,ínì_ñº,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm
401,ítì‡,521,6,517,6,517,6,512,6,518,6,523,6,503,6,519,6,511,6,510,6,512,6,516,6,518,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,520,6,519,6,519,6
406,óØñG,508,6,511,6,513,6,508,6,510,6,512,6,-,-,-,-,507,6,509,6,513,6,508,6,518,6,516,6,511,6,508,6,516,6,509,6,517,6,-,-,512,6,515,6,508,6
407,àÆêÏ,511,6,513,6,509,6,507,6,509,6,510,6,508,6,513,6,508,6,508,6,510,6,512,6,515,6,514,6,505,6,502,6,506,6,507,6,512,6,430,6,509,6,513,6,508,6
409,ñ‘ëñ,524,6,516,6,518,6,509,6,-,-,-,-,503,6,-,-,508,6,-,-,513,6,-,-,517,6,518,6,510,6,506,6,509,6,508,6,516,6,503,6,509,6,516,6,514,6
412,éDñy,507,8,504,8,511,8,504,8,509,8,-,-,505,8,505,8,504,8,430,8,502,8,504,8,513,8,503,8,501,8,426,8,505,8,503,8,509,8,429,8,505,8,511,8,504,8
413,ä‚å©ëÚ,509,8,506,8,510,8,505,8,508,8,510,8,428,8,511,8,504,8,503,8,508,8,507,8,516,8,512,8,505,8,503,8,510,8,509,8,514,8,504,8,507,8,511,8,508,8
417,ë—çL,515,6,507,6,510,6,505,6,509,6,513,6,501,6,511,6,505,6,504,6,507,6,508,6,515,6,513,6,503,6,502,6,507,6,510,6,513,6,503,6,506,6,510,6,512,6
418,ã˙òH,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,507,6,512,6,518,6,522,6
420,ç™é∫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,525,6,518,6,515,6,518,6,522,6,521,6,520,6,514,6,522,6,517,6,520,6,526,6,512,6,514,6,517,6,526,6
423,é∫óñ,510,8,507,8,518,8,508,8,508,8,512,8,427,8,508,8,505,8,508,8,506,8,507,8,516,8,516,8,504,8,505,8,507,8,514,8,512,8,504,8,508,8,511,8,508,8
426,âYâÕ,509,6,507,6,511,6,507,6,514,6,512,6,502,6,513,6,504,6,503,6,510,6,511,6,518,6,511,6,506,6,510,6,509,6,512,6,514,6,503,6,511,6,512,6,508,6
428,ç]ç∑,508,8,501,8,503,8,503,8,504,8,505,8,427,8,502,8,428,8,429,8,427,8,505,8,513,8,504,8,501,8,427,8,505,8,507,8,510,8,429,8,501,8,510,8,430,8
430,îüäŸ,502,8,503,8,508,8,503,8,508,8,504,8,426,8,504,8,430,8,503,8,503,8,505,8,514,8,507,8,503,8,502,8,505,8,506,8,511,8,429,8,502,8,509,8,501,8
433,ã‰ímà¿,512,6,511,6,519,6,513,6,515,6,516,6,502,6,517,6,509,6,508,6,507,6,509,6,520,6,517,6,509,6,510,6,510,6,517,6,-,-,507,6,511,6,514,6,510,6
435,ñ‰ï ,-,-,-,-,-,-,505,6,511,6,519,6,501,6,515,6,506,6,509,6,509,6,513,6,518,6,519,6,506,6,507,6,506,6,509,6,516,6,505,6,511,6,514,6,522,6
440,çLîˆ,-,-,-,-,-,-,-,-,-,-,509,6,429,6,509,6,502,6,505,6,506,6,511,6,517,6,515,6,502,6,502,6,505,6,512,6,512,6,505,6,505,6,512,6,513,6
520,êVèØ,-,-,-,-,-,-,-,-,-,-,423,8,415,8,423,8,422,8,423,8,420,8,417,8,506,8,422,8,423,8,421,8,422,8,429,8,423,8,413,8,420,8,428,8,422,8
575,ê¬êX,-,-,-,-,-,-,426,8,501,8,429,8,419,8,427,8,424,8,425,8,421,8,429,8,503,8,428,8,427,8,424,8,429,8,504,8,428,8,424,8,422,8,501,8,426,8
581,î™åÀ,426,8,424,8,423,8,424,8,427,8,424,8,421,8,427,8,422,8,423,8,420,8,427,8,506,8,426,8,426,8,422,8,426,8,430,8,422,8,424,8,420,8,429,8,425,8
582,èHìc,422,8,417,8,416,8,421,8,424,8,422,8,409,8,421,8,419,8,420,8,417,8,418,8,430,8,421,8,422,8,417,8,425,8,427,8,422,8,417,8,419,8,426,8,421,8
584,ê∑â™,427,8,419,8,418,8,424,8,427,8,424,8,418,8,427,8,422,8,422,8,418,8,418,8,504,8,423,8,426,8,417,8,426,8,428,8,423,8,421,8,420,8,428,8,424,8
585,ã{å√,422,8,416,8,412,8,418,8,420,8,419,8,414,8,420,8,418,8,418,8,415,8,420,8,430,8,417,8,420,8,416,8,420,8,425,8,419,8,419,8,416,8,425,8,420,8
587,éìc,415,8,411,8,410,8,417,8,417,8,413,8,407,8,414,8,416,8,416,8,415,8,415,8,425,8,415,8,416,8,413,8,420,8,424,8,418,8,413,8,417,8,422,8,417,8
588,éRå`,419,8,413,8,412,8,418,8,420,8,417,8,409,8,417,8,417,8,416,8,415,8,414,8,426,8,415,8,418,8,414,8,420,8,424,8,416,8,412,8,416,8,424,8,417,8
590,êÂë‰,411,8,406,8,411,8,416,8,416,8,410,8,404,8,412,8,411,8,414,8,412,8,411,8,420,8,411,8,411,8,410,8,414,8,421,8,414,8,408,8,411,8,419,8,414,8
595,ïüìá,409,8,405,8,409,8,414,8,415,8,407,8,403,8,408,8,411,8,409,8,407,8,411,8,418,8,406,8,410,8,406,8,413,8,419,8,409,8,406,8,409,8,417,8,411,8
597,îíâÕ,416,8,406,8,411,8,416,8,416,8,410,8,408,8,411,8,413,8,414,8,414,8,413,8,425,8,413,8,412,8,414,8,415,8,423,8,415,8,414,8,412,8,419,8,415,8
598,è¨ñºïl,406,8,401,8,403,8,412,8,411,8,407,8,330,8,405,8,408,8,409,8,413,8,410,8,415,8,401,8,403,8,407,8,412,8,416,8,409,8,403,8,408,8,414,8,410,8
600,ó÷ìá,408,8,405,8,407,8,413,8,415,8,407,8,401,8,406,8,404,8,410,8,411,8,412,8,418,8,409,8,408,8,410,8,413,8,418,8,412,8,409,8,410,8,415,8,412,8
